customer_id,model,saleprice,sale_date,VIN
80,Model D,80547.90,5/11/2020,S357QSHQSF34
82,Model R,102245.15,4/28/2020,I1LTZEE3BDR8
83,Model C,75990.56,1/2/2020,3LAMFNRF5WTV
85,Model R,101086.88,4/29/2020,BS5XIZC7AQC1
86,Model C,75838.45,6/7/2020,1809GHXXFN12
88,Model C,66047.73,9/16/2020,INJF0JU07W1S
89,Model R,110753.93,3/30/2020,IFGCS6346WVS
91,Model R,109454.40,5/28/2020,8DJBLMKFF3UR
92,Model R,105105.15,6/20/2020,43ELV8FB4D9S
94,Model D,84488.53,3/2/2020,HUWZBGKJJNCS
95,Model R,97041.58,4/23/2020,9NWTW236COEE
97,Model C,75028.66,1/23/2020,OMJROZVMKHYK
98,Model R,107948.89,3/29/2020,5362R6PO86JS
100,Model R,101044.67,6/8/2020,57M5C05HSYQF
101,Model C,69165.02,8/21/2020,I2D2F2S35HC3
103,Model R,92860.99,7/22/2020,CD9LK51JNARJ
104,Model D,77281.27,9/7/2020,VI7PGJFN403Q
106,Model C,83039.69,1/21/2020,FK02EQO1XQHT
107,Model R,93713.43,12/29/2020,2MIJTYGIGAKZ
109,Model R,117217.47,1/8/2020,QAJT51IGFFTR
110,Model D,75756.99,11/29/2020,BW9PMM1K25FM
112,Model C,75235.84,10/14/2020,HXWYSQ0MFOU9
113,Model D,83874.66,8/16/2020,669C92QZMIZ9
115,Model D,90782.82,7/2/2020,FC5QGBW74AII
116,Model C,73974.67,2/7/2020,TWWYW6EIMUX7
118,Model R,102043.27,10/11/2020,UJBCF8R5VGFB
119,Model R,115602.72,8/25/2020,VVKZZYW3AK5E
121,Model R,106209.51,4/14/2020,WQCXM6J0LTKR
122,Model C,73770.76,6/18/2020,E8CNNTB6A641
124,Model R,106554.06,5/12/2020,GKVN1JHY0KM5
125,Model D,78129.45,11/9/2020,ASPHLENEKFR9
127,Model C,76872.49,2/29/2020,WZ39AZFLK970
128,Model C,72816.42,2/21/2020,UUIU7OHC2D1U
130,Model D,89313.03,3/31/2020,TP1LMTUQD87Q
131,Model R,93276.72,5/17/2020,KZRPYBQFJLIP
133,Model D,80063.51,2/1/2020,E7URI0Z3DGO7
134,Model D,85320.48,5/8/2020,XSNWJ3P8N3N2
136,Model C,70866.21,7/3/2020,T6JNH6DYS3ID
137,Model C,82746.14,1/10/2020,99E2SB6NMN8Q
139,Model C,73054.46,2/21/2020,4FYLZ9MD1PQV
140,Model R,111172.20,2/6/2020,O37WYLC1RB8W
142,Model D,92229.52,5/29/2020,KYNZ4YMAAZ0L
143,Model R,100327.27,10/3/2020,6QIAW5QD8DF7
145,Model D,87835.76,4/19/2020,VFL3FMSUQ1OP
146,Model C,84420.10,9/9/2020,ZMSQXTCAI1ES
148,Model R,116420.08,7/17/2020,S37B7G1JA36R
149,Model D,83925.10,2/28/2020,5H3CL4AT8U1R
151,Model D,93632.62,5/9/2020,ZYK7BQQ2KHQX
152,Model R,108010.69,12/7/2020,CTZYS73YK16D
154,Model C,83859.57,11/30/2020,QPI5ATK9BN89
155,Model D,91415.83,5/15/2020,CPIGDVTY0AFU
157,Model D,84089.72,1/7/2020,2GLZ2WCR15O2
158,Model C,76997.33,2/3/2020,7NSSO7AYQ6LC
160,Model D,78365.54,3/17/2020,KAPJHRVS3GRE
161,Model D,81546.34,6/29/2020,OPV95Q4OWBXN
163,Model R,100260.87,9/23/2020,ATPC02IRJVNU
164,Model R,106417.12,5/25/2020,HSDIDAGXZD82
166,Model C,76932.70,2/20/2020,I4IPZYW9VHOE
167,Model C,68527.10,12/18/2020,ZFN2HRZTRERR
169,Model R,106958.72,1/27/2020,1SU64EYW3B3G
170,Model D,82603.41,7/24/2020,57M8OZCEWMN9
172,Model R,103027.56,7/16/2020,M481RXD9AOZK
173,Model D,88368.39,6/19/2020,LWVHXL4YZ3YP
175,Model D,78755.63,6/9/2020,Y3OJJZN44L9L
176,Model R,112166.78,9/17/2020,DCLHEM130BHV
178,Model C,68444.87,6/23/2020,S1HG5BVQF0E3
179,Model R,110370.62,3/18/2020,N9UBF8609RXN
181,Model D,92709.94,3/17/2020,144EABWUDKO6
182,Model R,100872.31,1/2/2020,2ZVCZPQM6UJW
184,Model C,77794.69,4/27/2020,H2LRUCQXFNZB
185,Model C,73916.27,10/14/2020,QR7E22LWUUBP
187,Model C,75722.21,10/11/2020,GKILIC2H9WXB
188,Model C,70145.86,12/7/2020,HLEMBBNT8BZO
190,Model D,78194.63,2/8/2020,H9FNOODBG82J
191,Model D,92598.37,6/9/2020,TT9MTV51PFFN
193,Model D,91140.75,9/13/2020,JB0HD491SJQZ
194,Model R,112179.47,3/1/2020,HZYD0PMOCJ8L
196,Model C,83626.31,4/27/2020,471CVHELSMQR
197,Model C,80147.24,4/26/2020,3EGBLZ4LGRT8
199,Model R,97985.34,11/9/2020,7JK87ETXFV9F
200,Model C,78136.49,3/8/2020,0YIPKKH02UK1
202,Model D,80314.53,9/12/2020,JN1P9G4ZI9NW
203,Model C,66885.14,10/18/2020,9Z83HFSB6NA1
205,Model R,103835.44,2/15/2020,5DC2I5H0RX56
206,Model R,110688.93,2/26/2020,B82C72CJN0LR
208,Model D,77647.86,11/8/2020,WK6R1DJE3FW1
209,Model R,110336.30,1/7/2020,ARAR5TZXYABY
211,Model D,78025.73,2/6/2020,84P0RETN73B6
212,Model D,80462.86,5/11/2020,56F364PFPMI4
214,Model D,95433.88,5/17/2020,F1FXM6M4PG0X
215,Model D,75024.45,5/5/2020,QZSU9COZTAB7
217,Model D,88413.57,8/6/2020,55J4912MKYBI
218,Model R,100830.55,1/26/2020,L9WYIWUYASL6
220,Model R,119120.84,4/22/2020,7KLTGVA5GTG6
221,Model R,106332.40,9/7/2020,2T3JSXGUH5AI
223,Model R,95794.12,2/4/2020,UD58AQTE1ZKP
224,Model R,101118.43,10/29/2020,NY59BLCI483U
226,Model C,73694.38,9/18/2020,MKI3N4MZIPNZ
227,Model D,84898.46,2/29/2020,RP3XKKQE6W7O
229,Model R,102336.14,5/26/2020,183CBOIYWH84
230,Model C,78968.72,1/16/2020,PKY39I7YGCOJ
232,Model C,79436.02,12/5/2020,HVPZE4NG3F87
233,Model D,95710.47,2/18/2020,KPAJ4YNXHL81
235,Model R,97209.64,3/24/2020,Z64H6NWHPRJZ
236,Model D,77967.14,1/1/2020,TBKGNGC9BGLE
238,Model R,100405.67,10/19/2020,AC6HJPHJ24OB
239,Model C,82084.56,12/28/2020,F3Z9CKV7RZYK
241,Model C,79553.53,4/23/2020,SS5H0P6Z9KD8
242,Model C,71813.98,9/7/2020,IHH5AVTVSZYB
244,Model C,68284.99,2/8/2020,P144ZYR1K2LZ
245,Model C,69701.11,1/29/2020,BY9SH5MZ4877
247,Model R,117393.91,7/29/2020,3OW8X3IB2JBK
248,Model D,90200.94,4/26/2020,AN9PZS46HBNK
250,Model C,75099.14,5/27/2020,OKWC1Q96M8ZJ
251,Model R,99643.06,10/11/2020,B1NG9XPNB2RV
253,Model D,78514.27,11/21/2020,V5HKNNUALSJX
254,Model C,70789.70,6/13/2020,FB79DQ18BMT2
256,Model R,97397.93,1/21/2020,QZY0GDVCY1PJ
257,Model C,79350.32,2/20/2020,C5SUZ87JVTQH
259,Model R,101882.98,5/23/2020,V0LRJZPP2KQW
260,Model R,102601.99,7/25/2020,KNZR48ZS2YE7
262,Model R,110647.76,10/28/2020,FRTEMJLMNT62
263,Model R,106192.62,10/23/2020,GNER1AEYJCRQ
265,Model R,116363.91,4/16/2020,QQYQ4NYCVNAK
266,Model D,86869.23,7/25/2020,ZRDRNWX4DFXM
268,Model D,77561.47,9/25/2020,MHDM3BN4SC6J
269,Model D,76430.37,2/4/2020,GAD65DH0FC4R
271,Model D,88989.13,10/31/2020,K2AUCH1S6JLM
272,Model R,112538.98,4/15/2020,N2I3HWPJH3ZY
274,Model C,75148.67,3/8/2020,3UYTGQN5F3VB
275,Model C,81776.73,11/12/2020,GZSYRPFDPAOW
277,Model R,98576.10,3/17/2020,9Z3Q4LDUYTZB
278,Model C,72345.19,4/30/2020,WQ9BCH39YMH4
280,Model D,88496.23,9/13/2020,4NKDXCLDQR7O
281,Model R,98991.92,2/19/2020,BT7JE13DUFXA
283,Model D,92503.04,4/18/2020,K9IU9O58VMFJ
284,Model C,65821.81,12/29/2020,A27Q072BNPH4
286,Model R,97169.02,2/13/2020,ATBIKYLRNW5L
287,Model R,113973.44,12/10/2020,9J24LQLYK3DL
289,Model C,70651.86,3/16/2020,75VJV0539ZOH
290,Model C,68876.07,7/25/2020,5E12Z633HBFU
292,Model D,93159.15,7/20/2020,JNZPKYBGCFUK
293,Model D,78333.87,3/18/2020,N414BUBDAUR8
295,Model C,74142.33,10/8/2020,3WY1S92V3Q24
296,Model C,81656.15,10/15/2020,4F2NP0J3DKU0
298,Model R,95596.69,1/20/2020,HP46BH0J00E2
299,Model D,84485.15,9/14/2020,MNEB7JYNVK25
301,Model C,70405.11,9/27/2020,P2VF37RTIFYW
302,Model C,73504.56,5/11/2020,0GPOJ5MVUHJ6
304,Model R,118622.25,10/15/2020,VY4QW20GMFBM
305,Model C,83678.13,1/31/2020,N26WIELJFY7C
307,Model C,74507.16,7/14/2020,QRK8E1FATFVL
308,Model D,94594.46,9/24/2020,70CGBA5KBFX6
310,Model D,89409.29,1/14/2020,2OO17P1AVI3N
311,Model C,73776.50,1/17/2020,34YU7T5S8OCS
313,Model C,66909.93,9/30/2020,IBYNH0RROQ8I
314,Model R,118488.55,5/28/2020,U22XJ8AEMOUK
316,Model D,90161.97,9/29/2020,OO2CYPK9QHCQ
317,Model R,104577.07,11/7/2020,E83445RCNLRL
319,Model R,107833.70,5/24/2020,1RFCVQPIJKRG
320,Model C,66108.28,8/31/2020,J71E2EM611LG
322,Model D,92277.65,5/14/2020,FFS2JLXCXQB6
323,Model C,71676.25,6/19/2020,6SSKHJUESJD3
325,Model D,90823.45,1/3/2020,59ZA41RU40SI
326,Model C,77120.25,4/12/2020,5J7K61ZI6K1K
328,Model R,104166.64,12/17/2020,1S9EKOX1YVXO
329,Model D,85690.26,5/22/2020,GAIS0IV1UCAR
331,Model R,114007.40,11/30/2020,2EP4HOOWK520
332,Model D,88649.83,4/9/2020,SA5M2T1HRKGV
334,Model D,75322.40,2/14/2020,7SFSJ8D0W1PB
335,Model C,84045.60,11/16/2020,A4J7QDBOQ8UY
337,Model C,75788.94,4/24/2020,QI29D6F4Z6TX
338,Model D,81442.32,4/11/2020,ML918UGNL3T4
340,Model D,90021.39,1/25/2020,4EBUSDP8RCMC
341,Model R,108674.84,12/20/2020,VHR6N6XX9GP4
343,Model D,93004.05,12/13/2020,BH7Z1EA5GMJE
344,Model R,113563.49,6/22/2020,JE9GY6M1MTW0
346,Model C,77562.25,8/1/2020,1L6E7GNAWR8P
347,Model R,115293.90,3/25/2020,0UOKHQSDPN8H
349,Model R,117305.00,3/12/2020,1HMZIW4E0KXC
350,Model D,95453.78,10/29/2020,TQY0EXJ19FOI
352,Model C,75123.51,3/25/2020,DB2NZM6WMCG2
353,Model R,119416.80,8/28/2020,GTH4V4GNOPIU
355,Model R,97815.96,12/11/2020,D4UD8NGY2G1Z
356,Model D,91339.70,5/24/2020,LQZGCYD86XAM
358,Model R,103967.80,7/6/2020,D7GJ3HQ5T4H2
359,Model C,81864.39,8/17/2020,5PLCK6Y6RI5V
361,Model R,115528.82,11/16/2020,EL4KBCXCOAWV
362,Model C,77441.00,12/2/2020,KXX4LR2XD8SR
364,Model D,84833.67,7/17/2020,BMJ6VR3DX8D6
365,Model D,90380.80,3/20/2020,IL5BYWIP3EM7
367,Model R,104154.11,2/10/2020,A3QGYNG93OQS
368,Model C,73766.17,2/12/2020,MY22FXZ9HKGZ
370,Model C,71899.62,12/2/2020,KKV9VRO86BEN
371,Model C,78644.59,11/18/2020,0A22DE9ZIHBK
373,Model D,87359.15,12/16/2020,1H2DRZ0ZCDD6
374,Model D,93814.25,4/17/2020,X2KCJZBT9G7Y
376,Model D,96288.57,11/20/2020,BBJE3Z5PVQHI
377,Model R,106973.16,2/21/2020,SEATMAHFBK3F
379,Model R,101513.54,5/13/2020,5H18N0S1U0B3
380,Model D,76166.02,3/26/2020,LMFFMN7QC7WG
382,Model C,79167.50,3/15/2020,PCKR13YSISSU
383,Model D,78994.80,4/7/2020,8LVVLD9GWIJF
385,Model R,110389.92,8/7/2020,37O9996JWWZH
386,Model R,106817.73,12/9/2020,MUMO3HF2AE6T
388,Model D,81109.04,10/17/2020,DFYEE7J5MUPM
389,Model R,99083.52,5/2/2020,Z8PNW43GQBHT
391,Model R,113047.40,12/8/2020,MABCYUP9ZE5U
392,Model R,112269.78,5/24/2020,8YW5V0K4SXE5
394,Model R,95781.81,3/21/2020,LPVMGYDLRFJT
395,Model R,92155.10,10/31/2020,6GDG18ESSR9W
397,Model D,90254.64,2/5/2020,MNQF4MF5BBEH
398,Model D,81768.32,8/18/2020,SQN4M8SSAUS7
400,Model C,66339.52,8/1/2020,44U8PLARZ3JN
401,Model C,83499.77,2/3/2020,MJ2LD33R5MRZ
403,Model C,80742.82,9/20/2020,JSFK2QN5RD9C
404,Model C,79806.41,1/27/2020,EDEIX3EXB463
406,Model R,119367.02,4/24/2020,EK77OC4SYBON
407,Model D,84518.48,9/26/2020,GBUTR1RP1F8V
409,Model R,118202.54,4/16/2020,998R0DVM8EMY
410,Model C,84401.35,12/29/2020,ZB4EJWGT9B7J
412,Model C,66064.04,8/8/2020,MZGXQBU1UDRA
413,Model R,113040.98,2/16/2020,1WJVQTA2DNXQ
415,Model R,109649.24,9/26/2020,ERFAIIHXI71R
416,Model C,74447.34,12/16/2020,R5G2PPAOFDO8
418,Model D,81447.09,3/18/2020,1UBIOC0373J5
419,Model R,106544.03,10/26/2020,4DWJ92W1C840
421,Model D,77619.30,6/16/2020,K35J3UC6TRA5
422,Model C,69266.29,6/11/2020,UAWFZFOOQLQ4
424,Model D,96111.24,9/19/2020,3KJH2KD09PDM
425,Model D,86486.66,6/21/2020,M3OUZYAABVD5
427,Model R,92605.80,9/21/2020,O7TEJUTCGOPZ
428,Model R,97490.99,10/27/2020,GW2BQMWQKJ0L
430,Model R,103592.03,2/20/2020,D6RR5VAEWOA6
431,Model R,96113.32,6/20/2020,ZJ73HWHYTL54
433,Model C,72472.27,12/23/2020,DDOOGHQW9Q3S
434,Model C,82842.49,11/7/2020,YZXG70BSAB9M
436,Model C,74467.86,9/14/2020,KTIEYSHV0FH8
437,Model R,99724.76,8/24/2020,M9H0E55VE4DZ
439,Model R,102953.32,11/5/2020,OTRQNPHZPXO2
440,Model D,94774.08,11/15/2020,LB7JSCHCWOU8
442,Model R,100203.94,9/5/2020,IO5C8PFER6A3
443,Model D,85127.36,3/2/2020,DSVNNVTAUYOI
445,Model D,76099.78,4/9/2020,NNLE3S0NMC0D
446,Model R,109725.17,4/19/2020,BTU36YEHV3C7
448,Model R,96586.49,4/14/2020,VDD67HSNFIFB
449,Model D,87402.91,8/23/2020,PSO33YIR3J7K
451,Model R,100802.35,5/20/2020,OJWA52MQXEOI
452,Model R,113560.31,6/18/2020,E67XEI6YE3NT
454,Model D,85214.50,6/21/2020,5CWWPDFSS4H8
455,Model D,84374.07,9/14/2020,ZJBHE4KDG6HQ
457,Model R,115236.31,1/31/2020,ZWVAPNQGC0TF
458,Model R,114334.65,6/11/2020,K80OXL6HW5U5
460,Model R,119556.61,2/3/2020,E1UUKJGZ6R94
461,Model D,82326.27,6/6/2020,Q3ZM514M7AS9
463,Model C,65868.32,11/23/2020,7D9HH42UKNR7
464,Model D,74857.46,2/6/2020,NVBC3EBVX58C
466,Model R,95110.38,9/20/2020,661LF6JYIOA2
467,Model R,109297.90,8/26/2020,G8TGY31PRC0K
469,Model D,75720.83,4/3/2020,GFR2NT4IMP41
470,Model R,102472.19,6/18/2020,KAZS6BEVAPFH
472,Model R,96489.69,12/29/2020,VMWCDLLIZ24L
473,Model D,81816.13,5/8/2020,F5KJIYBNGBNR
475,Model C,68116.23,8/20/2020,UA3F712C3UG1
476,Model C,72718.15,11/28/2020,GJUIZNJXFXEB
478,Model C,78994.13,8/16/2020,JT8K4WJLTB9Z
479,Model R,113931.04,8/20/2020,81A4MG7LZBW6
481,Model C,69011.83,11/22/2020,T0GWSGO083EK
482,Model D,75341.17,11/8/2020,8MMN0Q8VQYF7
484,Model R,119583.76,10/27/2020,UFL8GARRJV3R
485,Model R,108684.10,12/27/2020,TJYMBCJU7RSG
487,Model C,74084.84,4/23/2020,6FSZA5BQIGZS
488,Model R,116808.85,1/11/2020,N60KW2RZ6YCZ
490,Model R,106396.32,2/13/2020,HER7Z4WEFI3C
491,Model R,100144.38,4/19/2020,GC650EBQAMF4
493,Model D,81164.40,10/5/2020,Y8YKVIRXLVBC
494,Model C,65289.37,5/19/2020,V1YYE4WVLKJE
496,Model C,68760.71,8/17/2020,XZBCWEMM9J1G
497,Model D,82661.06,3/10/2020,SRT7BSCK6DRE
499,Model C,71991.08,2/19/2020,SHPS0ISCJY4V
500,Model C,77399.02,12/8/2020,O0T1P3Y98RQY
502,Model R,115702.09,1/11/2020,SBBR1TGO97VJ
503,Model D,80785.61,2/14/2020,OUT3G2MPX87T
505,Model D,87309.97,3/15/2020,FOCK3CKM30NX
506,Model C,67194.04,10/5/2020,YN8TGAQRHCJI
508,Model D,75890.10,6/27/2020,OB1V3PFDE6NF
509,Model D,86563.16,12/30/2020,KZUSPV9ZEM3Y
511,Model D,86314.90,9/20/2020,0P7Z68H83E87
512,Model R,93705.04,10/30/2020,RHUU5GCVFXY9
514,Model D,76946.79,9/28/2020,9AQA89K56FO7
515,Model D,93567.21,9/13/2020,EYU8K0CCJXEE
517,Model D,83936.81,7/5/2020,J4TJHG7R2CPA
518,Model D,74983.77,11/6/2020,2WK1DHFDOYFR
520,Model R,108412.62,8/8/2020,DLC1IBGB1NDY
521,Model R,111375.12,9/19/2020,SNG4WPMVJWLG
523,Model D,89911.11,3/10/2020,BY53PO20R5VU
524,Model R,107534.98,10/13/2020,EJ56BJJM0TZI
526,Model R,109871.08,1/8/2020,I9AVZUD79SJD
527,Model R,104857.62,9/10/2020,RPBVC60K4ZD1
529,Model D,83019.77,6/10/2020,XEK3IR6I3EV3
530,Model R,93675.22,3/29/2020,CIBRUNB0YKUX
532,Model C,81032.43,4/30/2020,7EC38PZ3SY5M
533,Model R,109137.24,11/20/2020,K4K68G4TE1YA
535,Model R,112376.15,9/25/2020,UMY58IJZT3B9
536,Model R,105461.01,6/28/2020,OX93HSR2WVIG
538,Model C,66896.47,7/13/2020,YFTJJQW9U5GD
539,Model C,81140.51,10/20/2020,UFR39N7SI8GV
541,Model R,101793.71,12/21/2020,RB6XU4EPPSGW
542,Model D,81679.58,8/15/2020,UTKL8EAAUDCB
544,Model D,95254.95,11/7/2020,3HBOPNWBW0K8
545,Model R,104927.89,5/13/2020,H4JNU42MZWPT
547,Model R,106390.50,11/26/2020,E0M2PKQVRMDY
548,Model R,100514.91,7/23/2020,86AABBY4U2X3
550,Model C,66072.58,12/15/2020,0BWJSF6AO2AM
551,Model R,108241.21,5/21/2020,1VLQYCM5GRZI
553,Model C,78842.34,4/17/2020,NVTDUUY4LHYE
554,Model D,92548.80,3/25/2020,35NM9VFOA4VP
556,Model R,117856.99,3/20/2020,MMCJS59FZJFY
557,Model R,119093.60,10/17/2020,N4O0HJ18JD4S
559,Model D,78829.66,4/29/2020,NYQ5YKFOLU57
560,Model C,82945.56,10/19/2020,NDXRUFMBDWRI
562,Model C,71915.70,5/26/2020,XQGZG1VO9LED
563,Model D,78748.74,12/12/2020,OPE78RIVB1IP
565,Model D,81859.62,11/8/2020,3JYFM3OX3YKL
566,Model D,90567.28,10/10/2020,YH3ED3T1NCAX
568,Model D,92622.86,11/10/2020,1WE76JQJRC46
569,Model R,97547.62,9/3/2020,XQGRVSSB8JG1
571,Model C,70661.87,10/7/2020,GCSTV318S4RJ
572,Model C,80722.84,3/3/2020,VFPANSLVC8R5
574,Model C,80795.15,6/3/2020,7W9L265WIUE0
575,Model D,84990.85,10/15/2020,1S9ETGSA3RUH
577,Model C,66160.42,8/22/2020,AM8H8ARM5LDY
578,Model D,83943.38,4/5/2020,EF5RJQSY4GJG
580,Model R,95276.43,12/12/2020,XKL2BIE8E14S
581,Model R,103122.06,8/17/2020,2949Z6ZD00NW
583,Model D,96085.93,3/12/2020,K1HG00Z121DY
584,Model R,117584.49,10/2/2020,WIHDMY53VZ7Y
586,Model R,105903.31,2/21/2020,1LFJ09RXQ905
587,Model C,83733.26,4/7/2020,9JGLPFIGR3VO
589,Model R,98374.68,12/15/2020,ETNKUY0UFE3K
590,Model R,107735.45,8/1/2020,QN19GR4D0334
592,Model D,85817.57,8/8/2020,62LB6UQIEAMT
593,Model C,70365.98,9/16/2020,L9JOLWIT7VQB
595,Model D,87392.29,10/23/2020,B8XVZS17CFNI
596,Model R,107387.32,5/16/2020,1WE00QQ94EJ4
598,Model C,73791.51,7/19/2020,TR2L2V465M5G
599,Model R,97203.47,6/26/2020,39F00XMIMCRT
601,Model R,102218.53,5/16/2020,XC1E3K9JRDMZ
602,Model C,73780.78,8/7/2020,OZEQ74QIR9O0
604,Model C,82515.73,7/28/2020,BPCKZTVBKC8S
605,Model R,110721.45,1/26/2020,40MJ1DXWAJIC
607,Model D,92323.91,6/11/2020,XJN0MED8XMMO
608,Model R,108595.25,3/6/2020,2LB5671HX1RL
610,Model R,104733.65,11/28/2020,P6M1BHFGWJXN
611,Model D,95605.28,5/21/2020,F64NT4BKA2W5
613,Model R,116449.75,11/27/2020,ET87Z91VIYIZ
614,Model R,97663.00,6/27/2020,OWTLR3YVJ5NQ
616,Model D,78000.96,1/5/2020,HTACNBVYDAWM
617,Model C,75666.59,9/19/2020,ZPJ3W2DDU5NV
619,Model C,72996.47,5/18/2020,ZWYILC469Q4M
620,Model C,78634.97,5/4/2020,IPPVCTR12AQ6
622,Model C,72595.22,10/18/2020,80OIOSI9SNYV
623,Model C,74949.07,6/24/2020,BAJK2QGGSIX1
625,Model D,91202.47,3/14/2020,AD8JEC07FVWS
626,Model D,92884.93,5/29/2020,ZQCFXP42QJET
628,Model R,109580.77,2/7/2020,8FAHR5TZG2C6
629,Model D,89401.40,11/27/2020,4RH0XZ18GM2K
631,Model D,83466.21,11/4/2020,TQOYVVTF6N1D
632,Model R,97244.25,5/9/2020,CM0O3RGSUP2O
634,Model D,77117.04,5/26/2020,JDXHQYJ1OJ81
635,Model C,79983.50,7/12/2020,D0I5H6AA6STK
637,Model C,65778.38,6/7/2020,48Q1K0G9T7MI
638,Model C,74043.87,12/10/2020,76O89QGW7LG9
640,Model D,87569.78,6/13/2020,6CZWNFYZTZAJ
641,Model R,105549.12,11/4/2020,1KR0UWHC4U6D
643,Model C,79467.94,2/24/2020,DUW8REEV56WW
644,Model D,76910.83,10/26/2020,E0ZW7006J49O
646,Model R,113455.26,8/29/2020,RLBO19YU93IX
647,Model R,108523.11,8/6/2020,PATYA8BV5HJX
649,Model C,73117.59,6/23/2020,BX6FC7V5S86O
650,Model R,101078.54,1/21/2020,E4F73DP2VFS0
652,Model D,76981.72,6/26/2020,XL3S1Q5MYN58
653,Model C,66820.78,12/28/2020,X3VQZP0M0ENK
655,Model D,93559.32,6/15/2020,ZIJZBZ4UZ1LK
656,Model C,69461.72,3/14/2020,OJO4M78LBRGO
658,Model R,109779.55,8/21/2020,SILE4GQ0N5JX
659,Model D,91031.62,10/14/2020,ZKDDFTZEOIC6
661,Model D,92092.55,1/12/2020,BN0FNU54QUVV
662,Model C,82153.00,12/6/2020,379KCRL0U4SP
664,Model C,67409.33,11/30/2020,F7MHCV6GXZFM
665,Model D,95970.55,4/3/2020,P745K428EO8G
667,Model C,72782.13,3/28/2020,B46LQ79L6718
668,Model D,81426.32,8/3/2020,T8I1BHN838Q8
670,Model C,67705.20,11/11/2020,BAZ1HW3JRB2R
671,Model R,109778.73,8/21/2020,2DZO54N6Y4SS
673,Model C,80771.47,7/23/2020,WE8MA9KGM85M
674,Model D,92690.92,2/24/2020,KSGIA5WS8CA0
676,Model C,77430.27,6/20/2020,DGNJTC5OUG0B
677,Model D,74656.51,4/6/2020,WQ1L7Q465H70
679,Model D,80359.51,10/15/2020,L4EXP358EWWN
680,Model R,95993.80,8/30/2020,356J9VB3RO6D
682,Model D,79859.55,1/31/2020,GYZGALGJ028J
683,Model D,95207.45,6/30/2020,3OJOCR35KAXN
685,Model D,94920.13,12/10/2020,RUGTDELNGYJR
